Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
2013-09-16,1 game (later overturned),Dashon Goldson,FS,Tampa Bay Buccaneers,Helmet-to-helmet hit on New Orleans Saints running back Darren Sproles
2013-09-10,4 games,Tom Zbikowski,SS,Free agent,Violating the substance policies
2013-09-10,2 games,Brandon McDonald,CB,Free agent,Violating the substance policies
2013-09-03,4 games,R.J. Mattes,OT,Free agent,Violating the substance policies
2013-08-30,8 games,DeQuin Evans,DE,Cincinnati Bengals,Violating the substance policies
2013-08-26,3 games,Jerome Felton,FB,Minnesota Vikings,Violating the substance policies
2013-08-26,4 games,Mike Goodson,RB,New York Jets,Violating the substance policies
2013-08-20,1 game,Antonio Smith,DE,Houston Texans,Removing and swinging Miami Dolphins guard Richie Incognito's helmet
2013-08-20,6 games,Von Miller,LB,Denver Broncos,Violating the substance policies
2013-08-14,1 game,Demarcus Dobbs,DE,San Francisco 49ers,Violating the substance policies
